date,calls,abnd,att,awt,awtx Abnd ,YN
13/10/2017,421,35,24.28333333,24.1,0.107569445,9
16/10/2017,512,189,57.9,136.4166667,1.243842593,8
17/10/2017,420,139,42.65,94.33333333,0.843541666,10
18/10/2017,438,125,40.66666667,75.93333334,0.696759257,12
19/10/2017,501,151,30.75,85.41666667,0.917905093,10
20/10/2017,485,109,40.56666667,80.51666667,0.536134258,13
23/10/2017,544,174,43.71666667,126.9333333,1.116006946,10
24/10/2017,450,107,30.26666667,77.81666667,0.529108798,13
25/10/2017,385,85,29.91666667,64.2,0.489988426,9
26/10/2017,376,84,32.8,51.41666667,0.37732639,12
27/10/2017,391,60,51.16666667,51.35,0.285925927,12
30/10/2017,449,85,31.95,54.63333333,0.313726851,14
31/10/2017,420,89,35.33333333,56.38333333,0.279224536,15
01/11/2017,389,76,37.73333334,72.65,0.308113425,11
02/11/2017,453,104,46.53333333,47,0.42388889,11
03/11/2017,467,116,34.7,70.8,0.54497685,14
04/11/2017,2,2,0,2.233333333,0.001550926,2
06/11/2017,533,197,39.41666667,86.33333334,1.331030092,6
07/11/2017,405,144,43.41666667,81.55,0.8690625,10
08/11/2017,416,127,41.65,81.15,0.69017361,14
09/11/2017,410,108,39.55,74.5,0.491678239,11
10/11/2017,488,165,43.38333333,106.8833333,1.186099538,7
13/11/2017,536,167,35.2,90.4,0.96601852,15
14/11/2017,422,97,38.46666667,76.33333334,0.470115741,13
15/11/2017,415,64,37.78333333,48.6,0.195740742,13
16/11/2017,486,140,33.33333333,87.56666667,0.679479166,13
17/11/2017,501,115,38.8,101.65,0.627638889,14
18/11/2017,1,1,0,3.416666667,0.002372685,1
20/11/2017,528,186,36.71666667,89.91666667,1.275868055,9
21/11/2017,473,184,32.68333333,100.0166667,1.251909723,11
22/11/2017,464,169,44.83333333,113.8333333,1.228703703,8
23/11/2017,419,100,44.8,75.08333333,0.574074074,11
24/11/2017,435,141,36.93333333,64.76666667,0.730578702,10
